               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12296,            0.065213,            0.058149,                   0,                   0,                   0,                   0,                   0,             0.02132,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12372,            0.063508,            0.059693,                   0,                   0,                   0,                   0,                   0,            0.021078,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.12342,            0.065221,            0.059173,                   0,                   0,                   0,                   0,                   0,            0.020826,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.12252,            0.052485,            0.058301,                   0,                   0,                   0,                   0,                   0,            0.020632,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.12077,            0.059018,            0.059925,                   0,                   0,                   0,                   0,                   0,            0.020289,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12122,            0.062985,             0.05924,                   0,                   0,                   0,                   0,                   0,            0.020289,                   0,            0.090073,           0.0010728,           0.0010728
                   6,              0.1214,            0.058867,            0.059308,                   0,                   0,                   0,                   0,                   0,            0.019948,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.11701,            0.046191,            0.059325,                   0,                   0,                   0,                   0,                   0,            0.019364,                   0,            0.086448,            0.001448,            0.001448
                   8,              0.1179,             0.06337,            0.059163,                   0,                   0,                   0,                   0,                   0,            0.019364,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.11633,            0.071221,            0.057633,                   0,                   0,                   0,                   0,                   0,             0.01843,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11472,            0.073245,            0.058575,                   0,                   0,                   0,                   0,                   0,             0.01843,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11504,             0.06227,            0.056686,                   0,                   0,                   0,                   0,                   0,             0.01764,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11534,            0.071006,            0.057961,                   0,                   0,                   0,                   0,                   0,             0.01764,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.11499,            0.071866,            0.055643,                   0,                   0,                   0,                   0,                   0,             0.01764,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.11077,            0.070534,            0.056484,                   0,                   0,                   0,                   0,                   0,            0.015774,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.10964,            0.059387,            0.056224,                   0,                   0,                   0,                   0,                   0,            0.015774,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.11303,            0.066285,            0.057162,                   0,                   0,                   0,                   0,                   0,            0.015774,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.11106,            0.054047,            0.056504,                   0,                   0,                   0,                   0,                   0,            0.015233,                   0,            0.068205,           0.0032055,           0.0032055
                  18,              0.1063,             0.07932,            0.058337,                   0,                   0,                   0,                   0,                   0,            0.015233,                   0,             0.06637,           0.0033703,           0.0033703
                  19,             0.11321,            0.083565,            0.054534,                   0,                   0,                   0,                   0,                   0,            0.015233,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.10939,            0.051488,            0.056225,                   0,                   0,                   0,                   0,                   0,            0.014638,                   0,            0.062694,           0.0036941,           0.0036941
                  21,             0.10537,            0.058831,            0.054561,                   0,                   0,                   0,                   0,                   0,            0.014638,                   0,            0.060853,            0.003853,            0.003853
                  22,             0.10363,             0.08136,            0.054258,                   0,                   0,                   0,                   0,                   0,            0.014638,                   0,             0.05901,           0.0040099,           0.0040099
