               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12296,            0.065213,            0.058149,            0.000998,            0.055556,           0.0059143,           0.0015882,             0.12487,            0.049023,            0.067676,              0.0991,              0.0001,              0.0001
                   1,             0.12372,            0.063508,            0.059693,          0.00098619,            0.055556,           0.0043152,           0.0011379,             0.12452,            0.049074,            0.067419,            0.097299,          0.00029851,          0.00029851
                   2,             0.12342,            0.065221,            0.059173,          0.00094162,            0.055556,            0.003104,          0.00086197,             0.12408,            0.049055,            0.067145,            0.095495,          0.00049505,          0.00049505
                   3,             0.12252,            0.052485,            0.058301,          0.00094162,            0.055556,           0.0026387,          0.00075581,             0.12324,            0.049381,            0.066852,             0.09369,           0.0006896,           0.0006896
                   4,             0.12077,            0.059018,            0.059925,          0.00095785,            0.055556,           0.0016161,          0.00048484,             0.12183,            0.049942,            0.066467,            0.091882,          0.00088218,          0.00088218
                   5,             0.12122,            0.062985,             0.05924,          0.00095785,            0.055556,           0.0016161,          0.00048484,             0.12183,            0.049942,            0.066467,            0.090073,           0.0010728,           0.0010728
                   6,              0.1214,            0.058867,            0.059308,          0.00098039,            0.055556,           0.0010144,          0.00020289,             0.12039,            0.050344,            0.066083,            0.088261,           0.0012614,           0.0012614
                   7,             0.11701,            0.046191,            0.059325,          0.00095785,            0.055556,          0.00080318,          0.00030451,             0.11762,            0.051519,            0.065314,            0.086448,            0.001448,            0.001448
                   8,              0.1179,             0.06337,            0.059163,          0.00095785,            0.055556,          0.00080318,          0.00030451,             0.11762,            0.051519,            0.065314,            0.084633,           0.0016327,           0.0016327
                   9,             0.11633,            0.071221,            0.057633,                   0,                   0,                   0,                   0,              0.1146,            0.052271,            0.064417,            0.082815,           0.0018154,           0.0018154
                  10,             0.11472,            0.073245,            0.058575,                   0,                   0,                   0,                   0,              0.1146,            0.052271,            0.064417,            0.080996,            0.001996,            0.001996
                  11,             0.11504,             0.06227,            0.056686,            0.001634,            0.055556,           0.0036438,          0.00036438,             0.10929,            0.053989,            0.063684,            0.079175,           0.0021748,           0.0021748
                  12,             0.11534,            0.071006,            0.057961,            0.001634,            0.055556,           0.0036438,          0.00036438,             0.10929,            0.053989,            0.063684,            0.077352,           0.0023515,           0.0023515
                  13,             0.11499,            0.071866,            0.055643,            0.001634,            0.055556,           0.0036438,          0.00036438,             0.10929,            0.053989,            0.063684,            0.075526,           0.0025263,           0.0025263
                  14,             0.11077,            0.070534,            0.056484,           0.0086877,               0.375,            0.010773,           0.0021098,             0.11381,            0.051325,            0.064581,            0.073699,            0.002699,            0.002699
                  15,             0.10964,            0.059387,            0.056224,           0.0086877,               0.375,            0.010773,           0.0021098,             0.11381,            0.051325,            0.064581,             0.07187,           0.0028698,           0.0028698
                  16,             0.11303,            0.066285,            0.057162,           0.0086877,               0.375,            0.010773,           0.0021098,             0.11381,            0.051325,            0.064581,            0.070039,           0.0030386,           0.0030386
                  17,             0.11106,            0.054047,            0.056504,           0.0071399,             0.33333,            0.009815,           0.0022477,             0.11245,             0.05094,              0.0634,            0.068205,           0.0032055,           0.0032055
                  18,              0.1063,             0.07932,            0.058337,           0.0071399,             0.33333,            0.009815,           0.0022477,             0.11245,             0.05094,              0.0634,             0.06637,           0.0033703,           0.0033703
                  19,             0.11321,            0.083565,            0.054534,           0.0071399,             0.33333,            0.009815,           0.0022477,             0.11245,             0.05094,              0.0634,            0.064533,           0.0035332,           0.0035332
                  20,             0.10939,            0.051488,            0.056225,            0.003581,             0.15278,             0.03017,           0.0035931,             0.10075,            0.056768,            0.060901,            0.062694,           0.0036941,           0.0036941
                  21,             0.10537,            0.058831,            0.054561,            0.003581,             0.15278,             0.03017,           0.0035931,             0.10075,            0.056768,            0.060901,            0.060853,            0.003853,            0.003853
                  22,             0.10363,             0.08136,            0.054258,            0.003581,             0.15278,             0.03017,           0.0035931,             0.10075,            0.056768,            0.060901,             0.05901,           0.0040099,           0.0040099
                  23,             0.10273,            0.076959,            0.054696,            0.003581,             0.15278,             0.03017,           0.0035931,             0.10075,            0.056768,            0.060901,            0.057165,           0.0041649,           0.0041649
                  24,             0.10675,            0.063836,            0.054301,           0.0082752,               0.375,            0.019478,           0.0059828,             0.10009,            0.058359,            0.059903,            0.055318,           0.0043179,           0.0043179
                  25,             0.10421,            0.073446,            0.054612,           0.0082752,               0.375,            0.019478,           0.0059828,             0.10009,            0.058359,            0.059903,            0.053469,           0.0044689,           0.0044689
                  26,             0.10601,            0.079601,            0.054585,           0.0082752,               0.375,            0.019478,           0.0059828,             0.10009,            0.058359,            0.059903,            0.051618,           0.0046179,           0.0046179
                  27,             0.10566,            0.085009,            0.052941,           0.0082752,               0.375,            0.019478,           0.0059828,             0.10009,            0.058359,            0.059903,            0.049765,           0.0047649,           0.0047649
                  28,             0.11061,            0.082718,            0.054653,           0.0082752,               0.375,            0.019478,           0.0059828,             0.10009,            0.058359,            0.059903,             0.04791,             0.00491,             0.00491
                  29,             0.10726,            0.095799,             0.05454,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,            0.046053,           0.0050531,           0.0050531
                  30,             0.10102,             0.07732,            0.052559,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,            0.044194,           0.0051941,           0.0051941
                  31,             0.10036,            0.073895,            0.052999,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,            0.042333,           0.0053333,           0.0053333
                  32,              0.1024,            0.094989,            0.052049,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,             0.04047,           0.0054704,           0.0054704
                  33,            0.093148,            0.054764,            0.053075,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,            0.038606,           0.0056056,           0.0056056
                  34,             0.10487,             0.08944,            0.051921,            0.010862,             0.56944,            0.023062,           0.0078834,            0.098128,            0.057011,            0.059464,            0.036739,           0.0057387,           0.0057387
                  35,             0.10068,            0.083945,            0.052208,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,             0.03487,           0.0058699,           0.0058699
                  36,            0.096569,            0.078851,            0.050508,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.032999,           0.0059991,           0.0059991
                  37,             0.10148,            0.078834,            0.050801,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.031126,           0.0061264,           0.0061264
                  38,             0.10132,            0.072024,            0.052182,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.029252,           0.0062516,           0.0062516
                  39,             0.10058,            0.085216,            0.052904,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.027375,           0.0063749,           0.0063749
                  40,            0.094556,            0.077237,            0.052455,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.025496,           0.0064962,           0.0064962
                  41,            0.097163,            0.088115,            0.050744,           0.0095985,             0.48611,            0.045529,            0.015931,            0.094909,            0.057198,            0.056442,            0.023616,           0.0066155,           0.0066155
                  42,             0.10119,            0.092483,              0.0521,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.021733,           0.0067329,           0.0067329
                  43,             0.10154,             0.10752,            0.051207,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.019848,           0.0068482,           0.0068482
                  44,             0.10107,             0.10102,            0.050757,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.017962,           0.0069616,           0.0069616
                  45,            0.099403,            0.076856,            0.050071,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.016073,            0.007073,            0.007073
                  46,            0.096918,             0.10437,            0.050494,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.014182,           0.0071824,           0.0071824
                  47,            0.097063,            0.060867,            0.052798,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,             0.01229,           0.0072898,           0.0072898
                  48,            0.097137,            0.079602,            0.049025,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,            0.010395,           0.0073953,           0.0073953
                  49,            0.094942,            0.066487,            0.050435,            0.010962,             0.54167,            0.042397,            0.008208,            0.093177,            0.056732,            0.054959,           0.0084988,           0.0074988,           0.0074988
                  50,            0.099197,            0.092782,            0.050304,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,            0.007525,            0.007525,            0.007525
                  51,            0.083794,            0.065352,            0.048388,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,            0.007525,            0.007525,            0.007525
                  52,            0.090628,             0.08811,            0.050352,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,           0.0074755,           0.0074755,           0.0074755
                  53,            0.089773,            0.082057,            0.051264,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,            0.007426,            0.007426,            0.007426
                  54,             0.09279,            0.086701,            0.048987,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,           0.0073765,           0.0073765,           0.0073765
                  55,            0.085162,            0.072179,            0.048389,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,            0.007327,            0.007327,            0.007327
                  56,            0.090554,            0.070529,            0.051663,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,           0.0072775,           0.0072775,           0.0072775
                  57,            0.094744,            0.097361,            0.049575,             0.19562,            0.083333,            0.087419,            0.029714,            0.090278,            0.056999,            0.051352,            0.007228,            0.007228,            0.007228
                  58,             0.08844,             0.07921,            0.048665,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,           0.0071785,           0.0071785,           0.0071785
                  59,            0.087886,            0.083311,            0.048565,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,            0.007129,            0.007129,            0.007129
                  60,            0.088474,            0.089929,            0.048778,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,           0.0070795,           0.0070795,           0.0070795
                  61,            0.090218,            0.083008,            0.046549,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,             0.00703,             0.00703,             0.00703
                  62,            0.093537,             0.10489,            0.048228,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,           0.0069805,           0.0069805,           0.0069805
                  63,            0.090707,            0.070567,            0.048602,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,            0.006931,            0.006931,            0.006931
                  64,             0.09423,             0.10322,            0.048453,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,           0.0068815,           0.0068815,           0.0068815
                  65,            0.089678,            0.074374,            0.046881,             0.57511,               0.125,             0.20261,             0.08195,            0.084254,            0.058592,            0.051617,            0.006832,            0.006832,            0.006832
                  66,            0.085566,            0.082298,            0.047056,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,           0.0067825,           0.0067825,           0.0067825
                  67,            0.083075,            0.068117,             0.04735,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,            0.006733,            0.006733,            0.006733
                  68,            0.086028,            0.081385,            0.045193,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,           0.0066835,           0.0066835,           0.0066835
                  69,            0.089226,            0.080542,             0.04655,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,            0.006634,            0.006634,            0.006634
                  70,            0.081542,            0.083699,            0.046754,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,           0.0065845,           0.0065845,           0.0065845
                  71,            0.085321,            0.075337,            0.046041,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,            0.006535,            0.006535,            0.006535
                  72,            0.079396,            0.064202,            0.046253,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,           0.0064855,           0.0064855,           0.0064855
                  73,            0.088524,            0.098103,            0.047086,             0.95245,            0.083333,             0.13031,            0.031876,            0.082743,             0.05731,            0.049988,            0.006436,            0.006436,            0.006436
                  74,            0.084801,            0.070698,            0.047404,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,           0.0063865,           0.0063865,           0.0063865
                  75,            0.080982,            0.080869,             0.04527,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,            0.006337,            0.006337,            0.006337
                  76,             0.08422,            0.079061,            0.046304,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,           0.0062875,           0.0062875,           0.0062875
                  77,            0.086016,             0.06707,            0.048715,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,            0.006238,            0.006238,            0.006238
                  78,            0.082048,            0.093085,            0.043985,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,           0.0061885,           0.0061885,           0.0061885
                  79,            0.083207,            0.089058,            0.045415,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,            0.006139,            0.006139,            0.006139
                  80,            0.087445,             0.13763,            0.046994,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,           0.0060895,           0.0060895,           0.0060895
                  81,            0.086925,            0.092491,            0.046299,             0.93071,            0.083333,             0.12114,            0.022247,            0.077698,            0.056982,            0.047443,             0.00604,             0.00604,             0.00604
                  82,            0.085327,            0.099875,            0.047027,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,           0.0059905,           0.0059905,           0.0059905
                  83,            0.079065,            0.086414,            0.044813,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,            0.005941,            0.005941,            0.005941
                  84,            0.084949,             0.10636,            0.046474,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,           0.0058915,           0.0058915,           0.0058915
                  85,            0.089852,             0.12312,            0.047481,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,            0.005842,            0.005842,            0.005842
                  86,            0.082042,            0.096871,            0.045082,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,           0.0057925,           0.0057925,           0.0057925
                  87,            0.080102,              0.1052,            0.044125,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,            0.005743,            0.005743,            0.005743
                  88,            0.085963,            0.087932,            0.045476,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,           0.0056935,           0.0056935,           0.0056935
                  89,            0.077027,            0.073597,            0.044562,             0.95678,             0.12033,             0.17366,            0.054633,              0.0746,            0.056067,            0.046362,            0.005644,            0.005644,            0.005644
                  90,            0.081826,            0.078218,            0.045844,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,           0.0055945,           0.0055945,           0.0055945
                  91,            0.080618,            0.085394,            0.042889,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,            0.005545,            0.005545,            0.005545
                  92,            0.072365,            0.082204,            0.042176,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,           0.0054955,           0.0054955,           0.0054955
                  93,            0.076551,            0.080737,            0.043243,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,            0.005446,            0.005446,            0.005446
                  94,            0.080755,            0.084294,            0.044889,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,           0.0053965,           0.0053965,           0.0053965
                  95,            0.077022,            0.084084,            0.044433,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,            0.005347,            0.005347,            0.005347
                  96,            0.080233,            0.083295,             0.04492,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,           0.0052975,           0.0052975,           0.0052975
                  97,            0.080089,             0.10325,            0.044628,              0.0541,             0.31224,             0.12541,            0.039105,            0.073552,            0.055725,            0.045813,            0.005248,            0.005248,            0.005248
                  98,             0.07922,            0.089546,            0.045578,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,           0.0051985,           0.0051985,           0.0051985
                  99,            0.080989,            0.096424,            0.044538,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,            0.005149,            0.005149,            0.005149
                 100,            0.078278,             0.08399,            0.043509,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,           0.0050995,           0.0050995,           0.0050995
                 101,            0.074724,            0.091662,            0.041353,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,             0.00505,             0.00505,             0.00505
                 102,            0.077344,            0.081307,             0.04259,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,           0.0050005,           0.0050005,           0.0050005
                 103,            0.071356,            0.068978,             0.04228,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,            0.004951,            0.004951,            0.004951
                 104,            0.073376,            0.066693,            0.040192,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,           0.0049015,           0.0049015,           0.0049015
                 105,            0.072032,            0.082634,            0.041855,             0.82071,             0.18056,             0.34332,            0.094584,            0.070362,             0.05707,            0.044669,            0.004852,            0.004852,            0.004852
                 106,            0.071871,            0.088526,            0.044446,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,           0.0048025,           0.0048025,           0.0048025
                 107,            0.075784,            0.073685,            0.043327,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,            0.004753,            0.004753,            0.004753
                 108,            0.070727,            0.073492,            0.041932,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,           0.0047035,           0.0047035,           0.0047035
                 109,            0.075809,            0.079328,            0.042188,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,            0.004654,            0.004654,            0.004654
                 110,             0.08029,            0.074738,            0.041877,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,           0.0046045,           0.0046045,           0.0046045
                 111,            0.075514,            0.081578,            0.044167,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,            0.004555,            0.004555,            0.004555
                 112,            0.076612,            0.078004,            0.043447,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,           0.0045055,           0.0045055,           0.0045055
                 113,            0.071141,            0.087741,            0.041505,             0.16517,             0.66667,             0.39105,             0.12995,             0.06572,            0.055826,            0.042297,            0.004456,            0.004456,            0.004456
                 114,            0.083764,             0.11192,            0.044909,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,           0.0044065,           0.0044065,           0.0044065
                 115,            0.073175,            0.060616,            0.041622,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,            0.004357,            0.004357,            0.004357
                 116,            0.065931,            0.065037,            0.038058,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,           0.0043075,           0.0043075,           0.0043075
                 117,            0.076664,             0.11352,            0.044144,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,            0.004258,            0.004258,            0.004258
                 118,            0.071782,            0.065392,              0.0392,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,           0.0042085,           0.0042085,           0.0042085
                 119,            0.074388,            0.072582,            0.042807,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,            0.004159,            0.004159,            0.004159
                 120,            0.076222,             0.10103,            0.041748,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,           0.0041095,           0.0041095,           0.0041095
                 121,            0.079553,             0.10299,            0.044357,             0.15029,             0.59722,             0.36657,             0.15607,            0.066781,            0.053539,            0.042499,             0.00406,             0.00406,             0.00406
                 122,            0.076346,            0.093101,            0.042484,             0.20006,             0.73932,             0.51021,             0.18327,            0.064725,            0.052277,             0.04216,           0.0040105,           0.0040105,           0.0040105
                 123,            0.073746,            0.084011,            0.040548,             0.20006,             0.73932,             0.51021,             0.18327,            0.064725,            0.052277,             0.04216,            0.003961,            0.003961,            0.003961
                 124,            0.076038,             0.10565,            0.043443,             0.20006,             0.73932,             0.51021,             0.18327,            0.064725,            0.052277,             0.04216,           0.0039115,           0.0039115,           0.0039115
                 125,             0.07607,             0.11008,            0.044995,             0.20006,             0.73932,             0.51021,             0.18327,            0.064725,            0.052277,             0.04216,            0.003862,            0.003862,            0.003862
                 126,             0.07546,            0.086951,            0.044754,             0.20006,             0.73932,             0.51021,             0.18327,            0.064725,            0.052277,             0.04216,           0.0038125,           0.0038125,           0.0038125
